,caption,commentsCount,index_column
0,"Is Your City Failing Pets?  Here’s What we need to do...

Let’s make every city a pet-friendly paradise!  

Join the #PetFriendlyCity movement and help create spaces where pets and strays are always welcome!   Whether it’s parks, cafes, or your local streets—our furry friends deserve the best!  

Join us in creating a safe and welcoming environment for our beloved animal companions.

@collegetips.in @petfriendlycity 

#PetFriendlyCity #SupportStrays #WorldStrayAnimalsDay #PetsOfInstagram #PetLovers #PetFriendly #DogsofInstagram #CatsofInstagram #PetsAreFamily #PetCampaign #FurBabies #PetGoals #CollegeTips",77.0,0
1,"Happy Mother’s Day❤️

#mothersday #dogsofinstagram #dogsmom #petfriendlycity #CollegeTips",47.0,1
2,"Share with your Batchmates

#collegetips",75.0,2
3,"Just a ordinary day @collegetips.in ❤️

#collegetips #startuplife",160.0,3
4,"Crushed by Crush or ditched by boyfriend maybe bitten by snake friends

We know GenZ generation goes through a lot
But don't forget the birthday of your best pal, that's ""CollegeTips.in"" who is with you forever (and our forever is not like Nibba Nibbie promises that'd last for 3 months)

We'll give you the most relatable content because we understand you. Just like Joey understood Chandler.☺️

So, on our 5th Birthday we want you with us virtually holding hands and jumping off from the cliff of boredom to the thrill of fun and stomach aching laughter.

Let's get high on humor instead of.. Nevermind

Get ready for more fun because this year many more surprises are about to come...keep in touch

Or haan...bhai log...Photo ke upar koi comment nhi marega

Vipin Tripathi @iamvipin.tripathi 
Founder: CollegeTips.in

#collegetips #5thbirthday #anniversary # birthday #friends #fun 
#internship",10.0,4
5,"Life @collegetips.in 

#CollegeTips #internship #job #officelifestyle #workculture",40.0,5
6,"The Savage Guy of the year award goes to!!

#collegetips",80.0,6
7,"If you ask us about our one true  asset here at CollegeTips, it will always be the friendships we’ve been able to nurture. Here is a small snippet of the bond we share at work. Life @collegetips.in ♥️
.
.
.
#collegetips #collegedays #friendsforever #friendship #love #bond #friends",82.0,7
8,"Join this amazing Campaign: www.collegetips.in/care 

You must have heard of things like India's Cleanest city or the Greenest city blah blah...But where is India's Pet Friendly City ?

Well! CollegeTips have decided to upgrade every city into safest place for your constant fellow amigo.'

In this campaign we are going to create an awareness among people to make their city a Pet friendly one.

As the pets in our country get teased a lot by some creepy people who are not sensitive towards Animals. Also, Many pets die of Starvation due to shortage of food. CollegeTips is going to help the pets by providing them food , shelter/safe environment, any kind of treatment they need related to their health.

So, Join us in helping these pets and provide them with all the love and care that they need.

#PetFriendlyIndia #collegetips #CTCare #pet #petfriendly #dog #doglover",324.0,8
9,"Love is Love.❤️ it has it's own feelings...some time it's complicated some time it's just simple. so CollegeTips.in tells a real life story of Aishwary & Khushi's WHAT IS NORMAL.️‍

#collegetips #pridemonth #pride #lgbt #lgbtq",160.0,9
10,"Shameful act by SAGE University in the name of Navratri Garba Utsav Celebration.…

Don’t insult our Hindu religion…a humble request by @collegetips.in 

#CollegeTips",63.0,10
11,"Tag your bestie‍♀️❤
And keep breaking the myth ki LADKIYO KI DOSTI TIKTI NAHI❤️

Let’s Celebrate Girl’s amazing bond on this friendship day‍♀️

#collegetips #friendshipday #friends #girls #collegelife #bestfriends #bestie #friendshipgoals",197.0,11
12,"Watch till End...and Share this with your Aatrangi friends

#collegetips #memes #sex #viralvideos #friends #funnystory #funnyvideos",240.0,12
13,"Tag kro Guys un Aashiqon ko

#collegetips #collegetipsInternship #internship #fun #friends #relationship #relationshipgoals",172.0,13
14,"#CollegeTips Classes introduces it's much awaited - Social Media Training Program. 
.
.
It is a Practical Based Training Program where you'll learn and practically implement your learnings for straight 30 days.
.
.
In this program, you will specifically work on Social Media Marketing and Content Creation for in-house projects of CollegeTips.in
.
.
KEY BENEFITS -
• Practical Based Learning
• Learn from Industry Experts.
• Gauranteed Internship
• Job opportunity
.
.
So get ready for a month-long ride where you will not only Learn and Grow but also Explore the world of Social Media Industry.
.
.
So Hurry and Grab your seat Now in just
 Rs.1995( Virtual Training Program) 
 .
.  or
 Rs.4995( In-Office Training Program)
.
.
We promise, you are in for a treat!
.
.
#socialmediamarketing #socialmedia #OnlineClasses #contentwriting #digitalmarketing #onlinelearning #ctclasses",7.0,14
15,"Saala ye Dukh...kam kyun nhi hote

#collegetips #collegelife #onlineclasses #friends #college",2004.0,15
16,"Dil se Bura lagta hai Bhai!!

#collegetips #collegelife #singleboys",260.0,16
17,"Feel the Pain

#collegetips #collegelife",300.0,17
18,"We are looking for creative personalities for various functions at CollegeTips.in❤️

If you are someone good with communication skills, have a zeal to learn and want to do something meaningful, #CollegeTips is the place for you.

If interested for a roller coaster, do
Register Now@ www.collegetips.in

Or Call 7024577333

#collegetips #winterinternship #summerinternship #sip #internship #internshipprogram #socialmediamarketing #digitalmarketing #internshipopportunity #intern",1181.0,18
19,"Bitter Truth: कड़वा सच

#collegetips #collegelife #friends",90.0,19
20,#CollegeTips #womenempowerment #girlpower #naarishakti #changethechronology,153.0,20
21,"TO DONATE OXYGEN FOR FREE
.
.
CollegeTips has started the #OxygenFromVaccine initiative.

In this campaign, we are going to create an awareness among youth to get vaccinated for prevention from Corona Virus. And also Provide oxygen to needy ones for free.
.
.
WHAT WE DO?

CollegeTips will donate 10 liters of oxygen on your behalf(on each registration). If you register yourself for vaccination.
.
.
HOW IT WORKS?

 You have to register yourself for vaccination on www.cowin.gov.in
 Take a screenshot of the registration.
 Send it on www.collegetips.in/care.
.
.
We want to channelize the power of students for the betterment of upcoming INDIA. If you want to do something which help our country to grow then register yourself now!

#collegetips #covid_19
#vacine #vaccinationdone✔️ #corona #cowin",37.0,21
22,"Come & Experience this Amazing Journey with us, where We share work, We share Joy, We share Sorrows but above all

We share & create Memories❤️

Ps: We Don't Teach...We develop what's already inside you.

edited by: @ashwinn._ (CollegeTips Intern)

#collegetips #collegetipsInternship #summerinternship #fun #fame #friends #funds #love #learning #college",182.0,22
23,"Majboori Me Single

#collegetips #collegelife #crush #girlfriend",232.0,23
24,"Kuch jyada hi Honest Opinion 

#collegetips",48.0,24
25,"Guys Share!! if this is yours too
#collegetips",28.0,25
26,"This is Every Students' Story...Must Watch...and share with your friends 

#collegetips #collegelife",91.0,26
27,"wait till the end...#tupriwalichai #collegetips  #ctcare #tea #tealover #chai #friends #lockdown #friends #lovestory #pornhub #ex #crush #family #gf #bf #webseries #moneyheist #memes #modiji #task #instagramchallange #college #chats #videocall #zoomclasses #chai #TheEnd ...so this is our Lockdown Story ...what's your ?
.
.
CollegeTips.in - India's Coolest Startup: 
Who's only aim to make students life Easy and Happening.",38.0,27
28,"Dhokha 

#collegetips #expectationvsreality #collegelife",231.0,28
29,#mentalhealth #collegetips #ctcare,55.0,29
