,author,comment,predicted_socre
0,@swadhinbiswal3650,"Beautiful people of MANIT, Thank you College Tips for sharing...",5
1,@Veer-g7f,Reporter apna intro dedena ☠️,4
2,@amarjeetkumar-jj7it,"I am CSE 2nd year from NIT-BHOPAL. ""NIT BHOPAL is the GANGSTER of all NIT""",5
3,@sudhirsingh1563,बकवास  ऐसा विडीओ  न बनाये  अरे कुछ  भी,5
4,@mr_singh943,Dhekte hai kitni ijjat utarte hai aa rhe hai MP 17 se,1
5,@preethamreddy6666,Going to this clg,5
6,@zainabhakim5427,⚡⚡,5
8,@mohinabanerjee,❤❤,5
9,@mohinabanerjee,Relatable,5
10,@Riyalllsworld,Nice,4
11,@sarveshapandit9450,Awesome video,5
12,@Gokupp4,Amazing,5
13,@anmol.tripathi18,wahhh,1
14,@arpitasingh7673,Great,5
18,@Crimestorieswithsimran,Bhai mera ek dost bhi ja raha hai rewa se hi hai,1
19,@Mohdkamil5856,"Kia nam hai bhai, ijjat hai ki gya",1
22,@amanhooda1393,Great,5
24,@anshumanmaurya9889,factual ✊,5
25,@sreyabhattacharya2914,2:54 deepider goyal,2
27,@freespirtied,❤❤❤❤❤,5
28,@himakarkh8294,M.tech ka mechanical ka average placement kitna h bhopal ka pls tell me anyone,3
29,@HimanshuKumar-fz1um,Great,5
30,@ajeetsharma3862,Not an Institute it's a feelings ♥️,1
31,@mokshwadhwani9234,Intro dedena apna reply me jo bhi 26 batch ka ho,1
32,@mahimachoudhary1214,The NITian,3
33,@Lonewolf_2810,Nice video,4
40,@arungarai9856,​ @downloadsatisfyingvideos  Bhai apka insta I'd ya kuch dedo mujhe bhi civil maila hai kunch baat karni hai,1
41,@preethiganta7267,How is manit for architecture,5
42,@preethamreddy6666,"Veer bahadur londe kon 
MACT MACT",1
43,@motivational_shorts87,1st year k liye jail h,1
44,@GamerBoy_India,Awesome,5
45,@janhit421,Great,5
46,@shadowx9720,Great video,5
47,@soumenmondal4897,Nice,4
48,@kushagrawason,Nice,4
50,@MVBMohdAnas,❤,5
52,@ayushiJ896,❤,5
53,@itsmidnightnotes,❤❤❤,5
55,@mayanksharma9207,Great video,5
56,@saraswatibiswal6524,❤,5
57,@khushipruthi,Nice,4
58,@KhushiAwasthi-v5l,I'm Preparing for JEE 2024.....,5
59,@mysteryman5705,Factual bhai hostel se class class se hostel,5
60,@Aditya_trh,bro kyu h aisa koi action nhi leta ragging pe,3
61,@suryanshrathore2109,Mai usi jail ka kaidi hu,3
62,@rishabhkumar263,1:28,1
63,@karanveersingh7081,What is your score,5
64,@NaroBegum,aur bhaiiii kya huaa,5
